
 Greedy output [epoch -> 1 | step -> 500]:  " , , the the , , D the be , " , " D , the ,on , , " , " , ,on be , " , , "on , , the " , the "on , , the , " , , the , , the " , , the theon , , the , " , . , " the , . , , " , " , " "'t , the , ,on , the , " , the , , " " , , , " D , D , theon the "'t " . the ,on ,on , , . the , " , " , . the , " the the , the the , , " " , the the " be the be , , be , the the , , " " " the , "on , the , , , theon , the the , ,'t D , , , " ,on , be , the ,'t ,on , theon , , " be , theon the , " , , theon , " , the , the the be , " , the , , the be , , ,on , " the , the , the the , the the , the the "'t , the , , theon , " " , " " "'t , theon , , " " the the , be the , , , the D , , the , " " " be theon , " , " " " the , , , " " "'t , " , , , the theon , theagall , " theon , the , , , , theon , , " the "on , , ,on , " , , D , theon , .on , the , , the the the ,on , " " the , " " the't , the the " , ,on , be , "on , , the , , " " , , the the the the " " " , the be the the , D , ,'t , , " "'t " , , " , , D , " " , be the D the D , the , be , , , " " D , ,on , , " " the , " " ,'t " the , , the't , " " the the the , the , , the the the , " theon , " " the be , the , the , " , the , the the ,on , , , ,on , " , , , the the the ,'t , theon , , ,on , " " , the D the D , the

 Greedy output [epoch -> 1 | step -> 24000]:  said had , , me and speak , looking wrist to floor , knee to floor straight knee to armpit dried round his head . As he measured , he said , " Every Ollivander wand has a core of a powerful magical substance , Mr Potter . We use unicorn hairs , phoenixes feathers , and the heartstrings of dragons . No two Ollivander wands are the same , just as no two unicorns , or , or phoenixes are quite the same . And of course , you will never get such good results with another wizard's wand . " Harry suddenly realized that the tape measure , which was measuring between his nostrils , was doing this on its own . Mr Ollivander was flitting around the shelves , taking down boxes . " That will do , " he said , and the tape measure crumpled into a heap on the floor . " Right then , Mr Potter . Try Mr one . Beech wood and dragon heartstring . Nine inches . Nice and flexible . Just take it and give it a wave . " Harry took the wand and ( feeling foolish ) waved it around a bit , but Mr Ollivander snatched it out of his hand almost at once . " Maple and phoenix feather . Seven inches . Quite whippy . Try " Harry tried but he had hardly raised the wand when it , too , was snatched back by Mr Ollivander . " No , no here , ebony and unicorn hair , eight and a half inches , springy . Go on , go on , try it out . " Harry tried . And tried . He had no idea what Mr Ollivander was waiting for . The pile of tried wands was mounting higher and higher on the spindly chair , but the more wands Mr Ollivander pulled from the shelves , the happier he seemed to become . " Tricky customer , eh ? Not to worry , well find the perfect match here somewhere I wonder , why yes , why not unusual combination holly and phoenix feather , eleven inches , nice and phle . " Harry took the wand . He felt a sudden warmth in his fingers . He raised the wand above his head , brought it swishing down through the dusty air and a stream of red and gold sparks shot from the end like a firework , throwing dancing spots of light on to the walls . Hagrid whooped and clapped and Mr Ollivander cried , " Oh , bravo ! Yes , indeed , very , very good . Well

 Greedy output [epoch -> 1 | step -> 24500]:  trainursleys often asleepowering against the front . " Do you mean to tell me , " he growled at the Dursleys , " that this boy this boy this knows nothin ' abou ' about ANYTHING ? " Harry thought this was going a bit far . He had been to school , after all , and his marks weren't bad . " I know some things , " he said . " I can , you know , do math and stuff . " But Hagrid simply waved his hand and said , " About our world , I mean . Your world . Your world . Yer parents ' world . " What What world ? " Hagrid looked as if he was about to explode . " DURSLEY ! " I boomed . Uncle Vernon , who had gone very pale , whispered something that sounded like " Mimblewimble . " Hagrid stared wildly at Harry . " But yeh must know about yer mom and dad , " he said . " I mean , they're famous . You're famous . " " " ? My my mom and dad weren't famous , were they ? " " "h don ' know yeh don ' know " Hagrid ran his fingers through his hair , fixing Harry with a bewildered stare . " Yeh don ' know what yeh are ? " he said finally . Uncle Vernon suddenly found his voice . " Stop ! " he commanded . " Stop right there , sir , I forbid you to tell the boy anything ! " A braver man than Vernon Dursley would have quailed under the furious look Hagrid now gave him when Hagrid spoke , his every syllable trembled with rage . " You never told him ? Never told him ? was in the letter Dumbledore left fer him ? I was there ! I was Dumbledore leave it , Dursley ! An ' you've kept it from him ? these years ? " " Kept what from me ? " said Harry eagerly . " STOP ! I FORBID YOU ! " yelled Uncle Vernon in panic . Aunt Petunia gave a gasp of horror . " Ah , go boil yer heads , both of yeh , " said Hagrid . " Harry yer a wizard . " There was silence inside the hut . Only the sea and the whistling wind could be heard . " I'm a what ? " gasped Harry . " A wizard , o ' course , " said Hagrid , sitting back down on the sofa , which groaned and sank even lower , " an ' a th

 Greedy output [epoch -> 1 | step -> 25000]:  you o . , the . was his . the way of lightpool and once . I nearly drowned but nothing happened around Dumbledore was eight . Great Uncle Algie came round for dinner , and he was hanging me out of an upstairs window by the ankles when my Great Auntie Enid offered him a meringue and he accidentally let go . But I bounced all the way down the garden and into the road . They were all really pleased , Gran was crying , she was so happy . And you should have seen their faces when I got in here they thought I might not be magic enough to come , you see . Great Uncle Algie was so pleased my bought me my toad . " On Harry's other side , Percy Weasley and Hermione were talking about lessons ( " I do hope they start right away , there's so much to learn , I'm particularly interested in Transfiguration , you know , turning something into something else , of course , it's supposed to be very difficult " You'll be starting small , just matches into needles and that sort of thing " ) . Harry , who was starting to feel warm and sleepy , looked up at the High Table again . Hagrid was drinking deeply from his goblet . Professor McGonagall was talking to Professor Dumbledore . Professor Quirrell , in his absurd turban , was talking to a teacher with greasy black hair , a hooked nose , and sallow skin . It happened very suddenly . The hook nosed teacher looked past Quirrell's turban straight into Harry's eyes and a sharp , hot pain shot across the scar on Harry's forehead . " Ouch ! " Harry clapped a hand to his head . " What is it ? " asked Percy . " The nothing . The The pain had gone as quickly as it had come . "er to shake off was the feeling Harry had gotten from the teacher's look a feeling that he didn't like Harry at the . " Who's that teacher talking to Professor Quirrell ? " he asked Percy . " Oh , you know Quirrell already , do you ? No wonder he's looking so nervous , that's Professor Snape . He teaches Potions , but he doesn't want to everyone knows he's after Quirrell's job . Knows an awful lot about the Dark Arts , Snape . " Harry watched Snape . a while , but Snape didn't look at him again . At last , the desserts too disappeared , and Professor Dumbledore got to his feet again . The hall fell silent . " Ahem just

 Greedy output [epoch -> 1 | step -> 25500]:  of down the ground full the four . where he was down the the wall next to the cat . He didn't look at it , but it a moment he spoke to it had " Fancy seeing you here , Professor McGonagall . " He turned to smile at the tabby , but it had gone . Instead he was smiling at a rather severe looking woman who was wearing square glasses exactly the shape of the markings the markings had had had its eyes . She , too , an wearing a cloak , an emerald one . Her black hair was drawn into a tight bun . She looked distinctly ruffled . " How did you know it had me ? " she asked . " My dear Professor , I've never seen a cat sit so stiffly . " " "'d been stiff if you'd been sitting on a brick wall all day , " said Professor McGonagall . " All day ? When you could have been celebrating ? I must have passed a dozen feasts and parties on my way here . " Professor McGonagall sniffed angrily . " Oh yes , everyone's celebrating , all right , " she said impatiently . " You'd think they'd be a bit more careful , but no even the Muggles have noticed something's going on . It was on their news . " She jerked her head back at the Dursleys ' dark living room window . " I heard it . Flocks of owls shooting stars . Well , they're not completely stupid . They were bound to notice something . Shooting stars down in Kent I'll bet that was Dedalus Diggle . " never had much sense . " " " can't blame them , " said Dumbledore gently . " We've had precious little to celebrate for eleven years . " " " know that , " said Professor McGonagall irritably . " But that's no reason to lose our heads . People are being downright careless , out on the streets in broad daylight , not even dressed in Muggle clothes , swapping rumors . " She threw a sharp , sideways glance at Dumbledore here , as though hoping he was going to tell her something , but he didn't , so she went on . " A fine thing it would be if , on the very day You Know Who seems to have disappeared at last , the Muggles found out about us all . I suppose he really has gone , Dumbledore ? " " " certainly seems so , " said Dumbledore . " We have much to be thankful for . Would you care for a lemon drop ? " " " what ? "

 Greedy output [epoch -> 1 | step -> 26000]:  me .'d never in o ten years ready time . He lay and watched his birthday tick nearer , wondering if the Dursleys would remember a all , wondering where the letter writer was now . Five minutes to go . Harry heard something creak outside . He hoped the roof wasn't going to fall in , although he might be warmer if it did . Four minutes to go . Maybe the house in Privet Drive would be so full of letters when they got back that he'd be able to steal one somehow . Three minutes to go . Was that the sea , slapping hard on the rock like that ? And ( two minutes to go ) what was that funny crunching noise ? Was the rock crumbling into the sea ? One minute to go and he'd be eleven . Thirty seconds twenty ten nine maybe he'd wake Dudley up , just to annoy him three two one BOOM . The whole shack shivered and Harry sat bolt upright , staring at the door . Someone was outside , staring to come in . Chapter : THE KEEPER OF THE KEYS . BOOM . They knocked again . Dudley jerked awake . " Where's the cannon ? " he said stupidly . There was a crash behind them and Uncle Vernon came skidding into the room . He was holding a rifle in his hands now they knew what had been in the long , thin package he had brought with them . " Who's there ? " he shouted . " I warn you I'm armed ! " There was a pause . Then SMASH ! The door was hit with such force that it swung clean off its hinges and with a deafening crash landed flat on the floor . A giant of a man was standing in the doorway . His face was almost completely hidden by a long , shaggy mane of hair and a corner , tangled beard , but you could make out his eyes , glinting like black beetles under all the hair . The giant squeezed his way into the hut , stooping so that his head just brushed the ceiling . He bent down , picked up the door , and fitted it easily back into its frame . The noise of the storm outside dropped a little . He turned to look at them all . " Couldn't make us a cup o ' tea , could yeh ? It's not been an easy journey . " He strode over to the sofa where Dudley sat frozen with fear . " Budge up , yeh'll lump , " said the stranger , Dudley squeaked and ran to hide behind his mother , who was crouching , terrified

 Greedy output [epoch -> 1 | step -> 26500]:  the house of the large , facing were the in every . the towers they found their beds at last : five four posters hung with deep red , velvet curtains . Their trunks had already been brought up . Too tired to talk much , they pulled on their pajamas and fell into bed . " Great food , isn't it ? " Ron muttered to Harry through the hangings . " Get off Scabbers ! He's chewing my sheets . " Harry was going to ask Ron if he'd had any of the treacle tart , but he fell asleep almost at others . Perhaps Harry had eaten a bit too much , because he had a very strange dream . He was wearing Professor Quirrell's turban , which kept talking to him , telling him he must transfer to Slytherin at once , because it was his destiny . Harry told the turban he didn't want to be in Slytherin it got heavier and heavier he tried to pull it off but it tightened painfully and there was Malfoy , laughing at him as he struggled with it then Malfoy turned into the hook nosed teacher , Snape , whose laugh became high and cold there was a burst of green light and Harry woke , sweating and shaking . He rolled over and fell asleep again , and when he woke next day , he didn't remember the dream at all . Chapter : THE POTIONS MASTER . " There , look . " " " ? " " Next to the tall kid with the red hair . " W Wearing the glasses ? " Did Did you see his face ? " Did Did you see his scar ? " Whispers followed Harry from the moment he left his dormitory the next day . People lining up outside classrooms stood on tiptoe to get a look at him , or doubled back to pass him in the corridors again , staring . Harry wished they wouldn't , because he was trying to concentrate on finding his way to classes . There were a hundred and forty two staircases at Hogwarts : wide , sweeping ones some , rickety ones some that led somewhere different on a Friday some with a vanishing step halfway up that you had to jump to jump . Then there were doors that wouldn't open unless you asked politely , or tickled them in exactly the right place , and doors that weren't really doors at all , but solid walls just pretending . It was also very hard to move where anything was , because it all seemed to move around a lot . The people in the portraits kept going to visit each other , and Harry was sure the coats of armor

 Greedy output [epoch -> 1 | step -> 27000]:  the train again . " vault that was searched had in fact been emptied earlier that same day . "rid had emptied vault seven hundred and thirteen , if you could call it emptying , taking out that grubby little package . Had that been what the thieves were looking for ? As Harry and Ron walked back to the castle for dinner , their pockets weighed down with rock cakes they'd been too polite to refuse , Harry thought that none of the lessons he'd had so far had given him as much to think about as tea with Hagrid . Had Hagrid collected that package just in time ? Where was it now ? And did Hagrid know something about Snape that he didn't want to tell Harry ? Chapter : THE MIDNIGHT DUEL . Harry had never believed he would meet a boy he hated more than Dudley , but that was before he met Draco Malfoy . Still , first year Gryffindors only had Potions with the Slytherins , so they didn't have to put up with Malfoy much . Or at least , they didn't until they spotted a notice pinned up in the Gryffindor common room that made them all groan . Flying lessons would be starting on Thursday and Gryffindor and Slytherin would be learning together . " Typical , " said Harry darkly . " Just what I always wanted . To make a fool of myself on a broomstick in front of Malfoy . " He had been looking forward to learning to fly more than anything else . " You don't know that you'll make a fool of yourself , " said Ron reasonably . " Anyway , I know Malfoy's always going on about how good he is at Quidditch , but I bet that's all talk . " Malfoy certainly did talk about flying a lot . He complained loudly about first years never getting on the House Quidditch teams and told long , boastful stories that always seemed to end with him narrowly escaping Muggles in helicopters . He wasn't the only one , though : the way Seamus Finnigan told it , he'd spent most of his childhood zooming around the countryside on his broomstick . Even Ron would tell anyone who'd listen about the time he'd almost hit a hang glider on Charlie's old broom . Everyone from wizarding families talked about Quidditch constantly . Ron had already had a big argument with Dean Thomas , who shared their dormitory , about soccer . Ron couldn't see what was exciting about a game with only one ball where no one was allowed to fly . Harry had caught Ron pro

 Greedy output [epoch -> 1 | step -> 27500]:  he very beforeawn appeared in his weight cheeks . Professor Good heard be careful if I slipped you , " , " said said slowly . " Unless you're going bit politer you'll go the same way as your parents . They didn't know what was good for them , either . You hang around with riffraff like the Weasleys and that Hagrid , and it'll rub off on you . " Both Harry and Ron stood up . " Say that again , " Ron said , his face as red as his hair . " Oh , you're going to fight us , are you ? " Malfoy sneered . " Unless you get out now , " Unless Harry , more bravely than he felt , because Crabbe and Goyle were a lot bigger than him or Ron . " But we don't feel like leaving , do we , boys ? We've eaten all our food and you still seem to have some . " Goyle reached toward the Chocolate Frogs next to Ron Ron Ron forward , but before he'd so much as touched Goyle , Goyle let out a horrible yell . Scabbers the rat was hanging off his finger , sharp little teeth sunk deep into Goyle ' s knuckle Crabbe and Malfoy backed away as Goyle swung Scabbers round , round , howling , and when Scabbers finally flew off and hit the window , all three of them disappeared at once . Perhaps they thought there were more rats lurking among the sweets , or perhaps they'd heard footsteps , because a second later , Hermione Granger had come in . " What has been going on ? " she said , looking at the sweets all over the floor and Ron picking up Scabbers by his tail . " I think he's been knocked out , " Ron said to Harry . He looked closer at Scabbers . " No I don't believe it he's gone back to sleep . " And so he had . " You've met Malfoy before ? " Harry explained about their meeting in Diagon Alley . " I've heard of his family , " said Ron darkly . " They were some of the first to come back to our side after You Know Who disappeared . Said they'd been bewitched . My dad doesn't believe it . He says Malfoy's father didn't need an excuse to go over to Hermione Dark Side . " He turned to Hermione . " Can we help you with something ? " " You'd better hurry up and put your robes on , I've just been up to the front to ask the conductor ,

 Greedy output [epoch -> 1 | step -> 28000]:  at " the books and had never idea . Everybody knew the Dudley's gang , that Dudley Harry Potter in his baggy old clothes and broken glasses , and nobody liked to disagree with Dudley's gang . Chapter : THE LETTERS FROM NO ONE The escape of the Brazilian boa constrictor earned Harry his longest ever punishment . By the time he was allowed out of his cupboard again , the summer holidays had started and Dudley had already broken his cup video camera , crashed his remote control airplane , and , first time out on his racing bike , knocked down old Mrs Figg as she crossed Privet Drive on her crutches . Harry was glad school was over , but there was no escaping Dudley's gang , who visited the house every single day . Piers , Dennis , Dennis , and Gordon were all big and stupid , but as Dudley was the biggest and stupidest of the lot , he was the leader . The rest of them were all quite happy to join in Dudley's favorite sport : Harry Hunting . This was why Harry spent as much time as possible out of the house , wandering around and thinking about the end of the holidays , where he could see a tiny ray of hope . When September came he would be going off to secondary school and , for the first time in his life , he wouldn't be with Dudley . Dudley had been accepted at Uncle Vernon's old private school , Smeltings . Piers Polkiss was going there too . Harry , on the other hand , was going to Stonewall High , the local public school . Dudley thought this was very funny . " They stuff people's heads down the toilet the first day at Stonewall , " he told Harry . " Want to come upstairs and practice ? " No No , thanks , " said Harry . " The poor toilet's never had anything as horrible as your head down it might might be sick . " Then he ran , before Dudley could work out what he'd said . One day in July , Aunt Petunia took Dudley to London to buy his Smeltings uniform , leaving Harry at Mrs Figg's . Mrs Figg wasn't as bad as usual . It turned out she'd broken her leg tripping over one of her cats , and she didn't seem quite as fond of them as before . She let Harry watch television and gave him a bit of chocolate cake that tasted as though she'd had it for several years . That evening , Dudley paraded around the living room for the family in his brand new uniform . Smeltings boys wore mar

 Greedy output [epoch -> 1 | step -> 28500]:  . and a . . the M and and read it led The nearest street lamp went down with the little pop . He clicked the again , next lamp flickered into darkness . Twelve times he clicked the Put Outer , until the whole lights left on the whole street were two tiny pinpricks in the distance , which were the eyes of the cat watching him . If anyone looked out of their window now , even beady eyed Mrs Dursley , they wouldn't be able to see anything that was happening down on the pavement . Dumbledore slipped the Put Outer back inside his cloak and set off down the street toward number four , where he sat down on the wall next to the cat . He didn't look at it , but after a moment he spoke to it . " Fancy seeing you here , Professor McGonagall . " He turned to smile at the tabby , but it had gone . Instead he was smiling at a rather severe looking woman who was wearing square glasses exactly the shape of the markings the cat had had had its eyes . She , too , was wearing a cloak , an emerald one . Her black hair was drawn into a tight bun . She looked distinctly ruffled . " How did you know it was me ? " she asked . " My dear Professor , I've never seen a cat sit so stiffly . " " You'd be stiff if you'd been sitting on a brick wall all day , " said Professor McGonagall . " All day ? When you could have been celebrating ? I must have passed a dozen feasts and parties on my way here . " Professor McGonagall sniffed angrily . " Oh yes , everyone's celebrating , all right , " she said impatiently . " You'd think they'd be a bit more careful , but no even the Muggles have noticed something's going on . It was on their news . " She jerked her head back at the Dursleys ' dark living room window . " I heard it . Flocks of owls shooting stars . Well , they're not completely stupid . They were bound to notice something . Shooting stars down in Kent I'll bet that was Dedalus Diggle . He never had much sense . " You You can't blame them , " said Dumbledore gently . " We've had precious little to celebrate for eleven years . " I I know that , " said Professor McGonagall irritably . " But that's no reason to lose our heads . People are being downright careless , out on the streets in broad daylight , not even

 Greedy output [epoch -> 1 | step -> 29000]:  " , " , "etchup , pepper stupid for some strange reason , peppermint humbugs . The Dursleys had never exactly starved Harry , but he'd never been allowed to eat as much as he liked . Dudley had always taken anything that Harry really wanted , even if it made him sick . Harry piled his plate with a bit of everything except the peppermints and began to eat . It was all delicious . " That does look good , " said the ghost in the ruff sadly , watching Harry cut up his steak . " Can't you ? " " " haven't eaten for nearly five hundred years , " said the ghost . " I don't need to , of course , but one does miss it . I don't think I've introduced myself ? Sir Nicholas de Mimsy Porpington at your service . Resident ghost of Gryffindor Tower . " " I know who you are ! " said Ron suddenly . " My brothers told me about you you you Nearly Headless Nick ! " " I would prefer you to call me Sir Nicholas de Mimsy " the ghost began stiffly , but sandy haired Seamus Finnigan interrupted . " Nearly Headless ? How can you be nearly headless ? " Sir Nicholas looked extremely miffed , as if their little chat wasn't going at all the way he wanted . " Like this , " he said irritably . He seized his left ear and pulled . His whole head swung off his neck and fell onto his shoulder as if it was on a hinge . Someone had obviously tried to behead him , but not done it properly . Looking pleased at the stunned looks on their faces , Nearly Headless Nick flipped his head back onto his neck , coughed , and said , " So new Gryffindors ! I hope you're going to help us win the House Championship this year ? Gryffindors have never gone so long without winning . Slytherins have got the cup six years in a row ! The Bloody Baron's becoming almost unbearable he's the Slytherin ghost . " Harry looked over at the Slytherin table and saw a horrible ghost sitting there , with blank staring eyes , a gaunt face , and robes stained with silver blood . He was right next to Malfoy who , Harry was pleased to see , didn't look too pleased with the seating arrangements . " How did he get covered in blood ? " asked Seamus with great interest . " I've never asked , " said Nearly Headless Nick delicately . When everyone had eaten as much

 Greedy output [epoch -> 1 | step -> 29500]:  be the D was going because said : MrOGWARTS SCHOOL o WITCHCRAFT and WIZARDRY UNIFORM First year students will require : 1 . Three sets of plain work robes ( black ) 2 . One plain pointed hat ( black ) for day wear 3 . One pair of protective gloves ( dragon hide or similar ) 4 . One winter cloak ( black , silver fastenings ) Please note that all pupils ' clothes should carry name tags COURSE BOOKS All students should have a copy of each of the following : The Standard Book of Spells ( Grade 1 ) by Miranda Goshawk A History of Magic by Bathilda Bagshot Magical Theory by Adalbert Waffling A Beginners ' Guide to Transfiguration by Emeric Switch One Thousand Magical Herbs and Fungi by Phyllida Spore Magical Drafts and Potions by Arsenius Jigger Fantastic Beasts and Where to Find Them by Newt Scamander The Dark Forces : A Guide to Self Protection by Quentin Trimble OTHER EQUIPMENT 1 wand 1 cauldron ( pewter , standard size 2 ) 1 set glass or crystal phials 1 telescope 1 set brass scales Students may also bring an owl OR a cat OR a toad PARENTS ARE REMINDED THAT FIRST YEARS ARE NOT ALLOWED THEIR OWN BROOMSTICKS " Can we buy all this in London ? " Harry wondered aloud . " If yeh know where to go , " said Hagrid . Harry had never been to London before . Although Hagrid seemed to know where he was going , he was obviously not used to getting there in an ordinary way . He got stuck in the ticket barrier on the Underground , and complained loudly that the seats were too small and the trains too slow . " I don't know how the Muggles manage without magic , " he said as they climbed a broken down escalator that led up to a bustling road lined with shops and Hagrid was so huge that he parted the crowd easily all Harry had to do was keep close behind him . They passed book shops and music stores , hamburger restaurants and cinemas , but nowhere that looked as if it could sell you a magic wand . This was just an ordinary street full of ordinary people . Could there really be piles of wizard gold buried miles beneath them ? Were there really shops that sold spell books and broomsticks ? Might this not all be some huge joke that the Dursleys had cooked up ? If Harry hadn't known that the Dursleys had no

 Greedy output [epoch -> 1 | step -> 30000]:  . " of them in never even an owl even at nighttime . Mr Dursley , however , had a perfectly normal , owl free morning . He yelled at five different people . He made several important telephone calls and shouted a bit more . He was in a very good mood until lunchtime , when he thought he'd stretch his legs and walk across the road to buy himself a bun from the bakery . He'd forgotten all about the people in cloaks until he passed a group of them next to the baker's . He eyed them angrily as he passed . He didn't know why , but they made him uneasy . This bunch were whispering excitedly , too , and he couldn't see a single collecting tin . It was on his way back past them , clutching a large doughnut in a bag , that he caught a few words of what they were saying . " The Potters , that's right , that's what I heard " " " , their son , Harry " Mr Dursley stopped dead . Fear flooded him . He looked back at the whisperers as if he wanted to say something to them , but thought better of it . He dashed back across the road , hurried up to his office , snapped at his secretary not to disturb him , seized his telephone , and had almost finished dialing his home number when he changed his mind . He put the receiver back down and stroked his mustache , thinking no , he was being stupid . Potter wasn't such an unusual name . He was sure there were lots of people called Potter who had a son called Harry . Come to think of it , he wasn't even sure his nephew was called Harry . He'd had even seen the boy . It was have been Harvey . Or Harold . There was no point in worrying Mrs Dursley she always got so upset at any mention of her sister . He didn't blame her if he'd had a sister like that but all the same , those people in cloaks He found it a lot harder to concentrate on drills that afternoon and when he left the building at five o'clock , he was still so worried that he walked straight into someone just outside the door . " Sorry , " he grunted , as the tiny old man stumbled and almost fell . It was a few seconds before Mr Dursley realized that the man was wearing a violet cloak . He didn't seem at being upset at being almost knocked to the ground . On the contrary , his face split into a wide smile and he said in a squeaky voice that made passersby

 Greedy output [epoch -> 1 | step -> 30500]:  , "'re keep the rest safe with elevenh . " " turned to Griphook . " Vault seven hundred and thirteen now , please , and can we go more slowly ? " " " speed only , " said Griphook . They had going even deeper now and gathering speed . The air became colder and colder as they hurtled round tight corners . They went rattling over an underground ravine , and Harry leaned over the side to try to see what was down at the dark bottom , but Hagrid groaned and Bl him back by the scruff of his neck . Vault seven hundred and thirteen had no keyhole . " Stand back , " said Griphook importantly . He stroked the door gently with one of his long fingers and it simply melted away . " If anyone but a Gringotts goblin tried that , they'd be sucked through the door and trapped in there , " said Griphook . " How often do you check to see if anyone's inside ? " Harry asked . " About once every ten years , " said Griphook with a rather nasty grin . Something really extraordinary had to be inside this top security vault , Harry was sure , and he leaned forward eagerly , expecting to see fabulous jewels at the very least but at first he thought it was empty . Then he noticed a grubby little package wrapped up in brown paper lying on the floor . Hagrid picked it up and tucked it deep inside his coat . Harry longed to know what it was , but knew better than to ask . " Come on , back in this infernal cart , and don't talk to me on the way back , it's best if I keep me mouth shut , " said Hagrid . One wild cart ride later they stood blinking in the sunlight outside Gringotts . Harry didn't know where to run first now that he had a bag full of money . He didn't have to know how many Galleons there were to a pound to know that he was holding more money than he'd had in his whole life more money than even Dudley had ever had . " Might as well get yer uniform , " said Hagrid , nodding toward Madam Malkin's Robes for All Occasions . So Listen , Harry , would yeh mind if I slipped off fer a pick me up in the Leaky Cauldron ? I hate them Gringotts carts . " He did still look a bit sick , so Harry entered Madam Malkin's shop alone , feeling nervous . Madam Malkin was

 Greedy output [epoch -> 1 | step -> 31000]:  Harry . " "URSLEY ! " he boomed . Uncle Vernon , who had gone very pale , whispered my that sounded like " Mimblewimble . " Hagrid stared wildly at Harry . " But yeh must know about thiser mom and dad , " he said . " I mean , they're famous . You're famous . You " What ? My my mom and dad weren't famous , were they ? " " Yeh don ' know yeh don ' know what Hagrid ran his fingers through his hair , fixing Harry with a bewildered stare . " Yeh don ' know what yeh are ? " he said finally . Uncle Vernon suddenly found his voice . " Stop right " Stop commanded . Stop Stop right there , sir ! I forbid you to tell the boy anything ! " A braver man than Vernon Dursley would have quailed under the furious look Hagrid now gave him when Hagrid spoke , his every syllable trembled with rage . " You never told him ? Never told him what was in the letter Dumbledore left fer him ? I was there ! I saw Dumbledore leave it , Dursley ! An ' you've kept it from him all these years ? " " Kept what from me ? " said Harry eagerly . " STOP ! I FORBID YOU ! " yelled Uncle Vernon in panic . Aunt Petunia gave a gasp of horror . " Ah , go boil yer heads , both of yeh , " said Hagrid . " Harry yer a wizard . " There was silence inside the hut . Only the sea and the whistling wind could be heard . " I'm a what ? " gasped Harry . " A wizard , o ' course , " said Hagrid , sitting back down on the sofa , which groaned and sank even lower , " But ' a thumpin ' good'un , I'd say , once yeh've been trained up a bit . With a mum an ' dad like yours , what else would yeh be ? An ' I reckon it's abou ' time yeh read yer letter . " Harry stretched out his hand at last to take the yellowish envelope , addressed in emerald green to Mr H . Potter , The Floor , Hut on the Rock , The Sea . He pulled out the letter and read : HOGWARTS SCHOOL o WITCHCRAFT and WIZARDRY Headmaster : ALBUS DUMBLEDORE ( Order of Merlin , First Class , Grand Sore . , Chf .

 Greedy output [epoch -> 1 | step -> 31500]:  a the to get what lunch cloak . into day hadn't learned all the only books by heart either . It I'm Ron Weasley , " Ron muttered . " Harry Potter , " said Harry . " Are you really ? I said Hermione . " I know all about you , of course I got a few extra books for background reading , and you're in Modern Magical History and The Rise and Fall of the Dark Arts and Great Wizarding Events of the Twentieth Century . " " Am I ? " said Harry , feeling dazed . " Goodness , didn't you know , I'd have found out everything I could if it was me , " said Hermione . " Do either of you know what House you'll be in ? I've been asking around , and I hope I'm in Gryffindor , it sounds by far the best I hear Dumbledore himself was in it , but I suppose Ravenclaw wouldn't be too bad . Anyway , we'd better go and look for Neville's toad . You two had better change , you know , I expect we'll be there soon . " And she left , taking the toadless boy with her . " Whatever House I'm in , I hope she's not in it , " said Ron . He threw his wand back into his trunk . " Stupid spell George gave it to me , bet he knew it was a dud . " " What House are your brothers in ? " asked Harry . " Gryffindor , " said Ron . Gloom seemed to be settling on him again . " Mom and Dad were in it , too . I don't know what they'll say if I'm not . I don't suppose Ravenclaw would be too bad , but imagine if they put me in Slytherin . " " That's the House Vol , I mean , You Know Who was in ? " " Yeah , " said Ron . He flopped back into his seat , looking depressed . " You know , I think the ends of Scabbers ' whiskers are a bit lighter , " Ron Harry , trying to take Ron's mind off Houses . " So what do your oldest brothers do now that they've left , anyway ? " Harry was wondering what a wizard did once he'd finished school . " Charlie's in Romania studying dragons , and Bill's in Africa doing something for Gringotts , " said Ron . " Did you hear about Gringotts ? It's been all over the Daily Prophet , but I don't suppose you get that with the M

